source,recognized_product,confidence,notes
"screen_pass","Брелок в форме милой кошачьей головы","high","Видимая карточка товара на экране OZON"
"screen_pass","Туалетная бумага 12 рулонов, 3 слоя","high","Видимая карточка товара на экране OZON"
"screen_pass","VOIS шампунь для волос женский и бальзам-кондиционер, бессульфатный, набор 2000 мл","high","Видимая карточка товара на экране OZON"
"screen_pass","Псиллиум для похудения 200 г Миофарм, шелуха семян подорожника для выпечки PREMIUM","high","Видимая карточка товара на экране OZON"
"screen_pass","Платье","medium","Короткое название, без модели"
"screen_pass","PANDORA кольцо-перстень","high","Видимая карточка товара на экране OZON"
"screen_pass","Мой любимый Sputnik | Мураками Харуки","high","Книга"
"screen_pass","B.COLOUR PROFESSIONAL тушь для ресниц, черная термотушь, CAPSULE 04 EXTREME VOLUME","high","Видимая карточка товара на экране OZON"
"screen_pass","Туалетная бумага Zewa/Zemma Ultra Soft, 4 слоя, 4 рулона","high","Видимая карточка товара на экране OZON"
"screen_pass","Сумка на плечо","medium","Короткое название, без бренда"
"screen_pass","Тапочки COISNI","high","Видимая карточка товара на экране OZON"
"screen_pass","Апельсиновые палочки для маникюра / палочки для кутикулы","high","Видимая карточка товара на экране OZON"
"screen_pass","Губки для мытья посуды Clean cat черные ЛОФТ, 10 шт.","high","Видимая карточка товара на экране OZON"
"screen_pass","Туалетная бумага Zewa/Zemma Deluxe без аромата, 3 слоя, 8 рулонов","high","Видимая карточка товара на экране OZON"
"screen_pass","Футболка ГАЗМАГАЗ, хаки","medium","Название видно частично"
"screen_pass","Брошь","medium","Короткое название, без модели"
"screen_pass","Машинка Mercedes G-klass Trophy, металлическая модель автомобиля 1:24","high","Видимая карточка товара на экране OZON"
"screen_pass","Оливковое масло Lorenzo №3 Barbera Extra Virgine DOP, 500 мл","high","Видимая карточка товара на экране OZON"
"screen_pass","Очки солнцезащитные","medium","Короткое название, без бренда"
"screen_pass","VOIS патчи для глаз от отеков и темных кругов с коллагеном, 80 шт.","high","Видимая карточка товара на экране OZON"
"screen_pass","Развивающая игрушка-паровозик для малышей с музыкой, светом и шестерёнками","high","Видимая карточка товара на экране OZON"
"screen_pass","Контейнер пищевой","medium","Короткое название, без модели"
"screen_pass","Комбинезон Babyglory, комплект 2 слипа","high","Видимая карточка товара на экране OZON"
"screen_pass","Перчатки New Balance Puma, 1 пара","medium","Название на экране выглядит неоднозначно"
"screen_pass","Сухари панировочные Панко Золотистые, 1 кг","high","Видимая карточка товара на экране OZON"
"screen_pass","Ватные диски 600 шт (120 × 5) с верёвочкой, Я САМАЯ","high","Видимая карточка товара на экране OZON"
"screen_pass","VOIS маска для лица тканевая, набор 30 шт, с гиалуроновой кислотой, коллагеном, витамином C, коэнзим Q10","high","Видимая карточка товара на экране OZON"
"screen_pass","Трусы, 5 шт.","medium","Короткое название, видна только часть карточки"
"screen_pass","Держатель для туалетной бумаги, 1 шт.","high","Видимая карточка товара на экране OZON"
